2025-09-05 14:55:05 [WARN] | data already found in 073/traces/obs/*, skipping data preparation
2025-09-05 15:42:42 [DEBU] | AA.S000131..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000240..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000227..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000159..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000006..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000361..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000284..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000254..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000132..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000183..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000063..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000135..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000140..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000340..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000168..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000202..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000199..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000069..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000299..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000331..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000123..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000088..PRE misfit=6.469E+00
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000352..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000180..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000200..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000241..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000095..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000219..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000154..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000227..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000153..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000156..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000155..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000185..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000280..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000232..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000337..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000005..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000057..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000132..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000298..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000312..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000133..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000352..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000293..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000176..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000026..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000181..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000344..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000289..PRE misfit=6.469E+00
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000160..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000130..PRE
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000324..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000129..PRE misfit=6.469E+00
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000212..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000285..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000152..PRE misfit=6.469E+00
2025-09-05 15:42:42 [INFO] | PREPROCESSING AA.S000321..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000242..PRE misfit=6.469E+00
2025-09-05 15:42:42 [DEBU] | AA.S000046..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000222..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000280..PRE misfit=6.469E+00
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000290..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000233..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000161..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000112..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000209..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000125..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000054..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000104..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000210..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000257..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000332..PRE
2025-09-05 15:42:41 [INFO] | PREPROCESSING AA.S000243..PRE
2025-09-05 15:42:42 [DEBU] | AA.S000256..PRE misfit=6.469E+00
